1000/03 Inventarisnummer,Rechtenverklaring object,Rechtenverklaring data,Persistente URI,Kunstenaarsnaam_NL_VerbeterdeVersie,1000/04 Titel_NL,1000/06 Soort - Verwoording,1000/07 AfmetingenNL,1000/08 Materialen en technieken - Verwoording,2000/01 Datum,2000/02 Toewijzing - Verwoording,2000/04 Achternaam_NL,2000/04 Achternaam 3,2000/04 Achternaam 4,2000/05 Voornaam,2000/08 Geboortedatum,2000/09 Datum overlijden,2000/13 Opmerking toewijzing,2300/02 Terminus ante quem,2300/03 Terminus post quem
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,vroeger toegeschreven aan,,,,,,,,,
8771,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8771,School der oude Nederlanden?,De heilige Margaretha,statuette,"45 x 14,5 x 8","hout, verf",,?,School der oude Nederlanden,,,,,,,1520,1530
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8772,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8772,Zuid-Nederlandse school,Retabelfragment : Piëta,retabel (deel van),"23,5 x 16,5 x 4","hout, verf",,,Zuid-Nederlandse school,,,,,,,1501,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8777,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8777,"Zuid-Nederlandse school, Mechelen",Maria met Kind,groep,"35 x 12 x 8,5","hout, verf, verguldsel",,,"Zuid-Nederlandse school, Mechelen",,,,,,,1520,1530
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8778,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8778,"Zuid-Nederlandse school, Mechelen",Vrouwelijke heilige met een boek,groep,"31 x 12 x 6,5","hout, verf",,,"Zuid-Nederlandse school, Mechelen",,,,,,,1520,1530
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8779,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8779,"Zuid-Nederlandse school, Mechelen",Het Laatste Avondmaal,reliëf,"12,2 x 14,2",albast,,,"Zuid-Nederlandse school, Mechelen",,,,,,,1501,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8780,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8780,"Zuid-Nederlandse school, Mechelen",De Calvarieberg,reliëf,"13 x 10 x 2,5",albast,,,"Zuid-Nederlandse school, Mechelen",,,,,,,1501,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8792,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8792,Zuid-Nederlandse school?,Sint-Jan op Patmos,statuette,50 x 40 x 10,"hout, verf",,?,Zuid-Nederlandse school,Berruguete,Berruguete,Alonso,1551,1600,,1551,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,"vroeger toegeschreven aan, (omgeving van)",,,,Alonso,ca. 1486,1561,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8795,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8795,Franco-Vlaams,Maria Lactans,groep,"89,5 x 52 x 26,5","steen (kalksteen), verf",,vroeger toegeschreven aan,Frans-Vlaamse school,Centraal-Europese school,Ecole d'Europe centrale,,,,,1420,1430
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8796,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8796,Centraal-Europa?,Christuskop,kop,"35,5 x 28 x 27,5","hout, verf",,?,Centraal-Europese school,,,,,,,1501,1520
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8801,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8801,"Zuid-Duitsland, Nürnberg",IJzeren koffertje,siervoorwerp,"14,4 x 3,9 x 9,5","metaal, ijzer, ets",,,"Zuid-Duitsland, Nürnberg",,,,,,,1595,1605
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8802,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8802,Aymond Voes,Bierpul,gebruiksvoorwerp,"13,3 x diam. 14","serpentijn, metaal, zilver",,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,zilverwerk,,,,,,,,,,,,,
10915,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10915,Westerwald,Pelgrimsveldfles,gebruiksvoorwerp,"Hoogte : 35,7","metaal, tin, glazuur, steengoed",,,Westerwald,,,,,,,1601,1620
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
10916,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10916,Westerwald,Pul,gebruiksvoorwerp,Hoogte : 24,"steengoed, metaal, tin, glazuur",,,Westerwald,,,,,,,1630,1670
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
2487,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2487,Andries de Nole,Sint-Jozef,ontwerp,"Hoogte : 44,5",stuc,,vroeger toegeschreven aan,de Nole,de Nole,de Nole,Andries,1598,1638,"Marguerite Devigne schreef het ontwerp toe aan Robert Colyns de Nole, neef van de kunstenaar (Vlaamsche beeldhouwwerken en maquetten uit de XVIIe en XVIIIe eeuw, in: Kunst. Maandblad voor oude en jongere beeldende kunst, 4, 1933, pp. 121-122)",1635,1638
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,statuette,,,,,,,,Andries,,1636,"Marguerite Devigne attribua ce modèle au Robert Colyns de Nole, neveu de l'artiste (Vlaamsche beeldhouwwerken en maquetten uit de XVIIe en XVIIIe eeuw, in: Kunst. Maandblad voor oude en jongere beeldende kunst, 4, 1933, pp. 121-122)",,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Robrecht,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Robrecht,,,,,
6367,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/6367,Lucas Faydherbe (toegeschreven aan),Johannes de evangelist,statuette,"34,5 x 20,6 x 9,8",aarde,,toegeschreven aan,Faydherbe,Lemoyne,Lemoyne,Lucas,1617,1697,,1670,1680
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,vroeger toegeschreven aan,,,,Lucas,1665,1755,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Jean-Louis,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Jean-Louis,,,,,
459,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/459,Gabriel Grupello,Wandfontein met zeegoden,groep,Groep met Neptunus en Thetis : 120 x 123 x 104 ,,,,,,,,,,,,
2464,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2464,Mattheus van Beveren,De engelenpoort van Tienen,ontwerp,"56 x 21,5 (voor elke vleugel) ",,,,,,,,,,,,
12171,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/12171,Zuid-Nederlandse school,Het huwelijk van de heilige Maagd,groep,"35,3 x 28,5 x 11",hout,,,"Zuid-Nederlandse school, Brussel",,,,,,,1435,1455
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
